station id,depth,Water C,DO MG/L,SPC,TDS mg/L,PH,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
,1,6.7,12.03,47.40,30.55,6.49,weather:,calm sun high clouds,,,,,,,,,,,,
,2,6.6,11.90,47.20,31.20,6.52,people:,Heidi and Carrie,,,,,,,,,,,,
,3,6.6,11.89,47.20,30.55,6.56,air temp (C):, 	8.7 ,,,,,,,,,,,,
,4,6.5,11.80,47.50,30.55,6.57,secchi 1 (m):, 	5.6 ,,,,,,,,,,,,
,5,6.5,11.93,47.20,30.55,6.60,secchi 2 (m):, 	6.1 ,,,,,,,,,,,,
,6,6.8,11.66,47.20,30.55,6.63,Nitrogen (ug/L):,na,,,,,,,,,,,,
,7,6.6,11.58,47.20,30.55,6.65,Phosporus (ug/L):,na,,,,,,,,,,,,
,8,6.6,11.76,47.30,30.55,6.68,,,,,,,,,,,,,,
,9,6.6,11.88,47.40,30.55,6.69,DATA NOTES,no water samples,,,,,,,,,,,,
,10,6.6,11.74,47.30,30.55,6.73,,,,,,,,,,,,,,
,11,6.7,11.67,47.30,30.55,6.70,,,,,,,,,,,,,,
,12,6.7,11.68,47.40,30.55,6.71,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,5.2,13.01,46.80,30.55,6.68,date/time:,2021/Feb/16 12:30,,,,,,,,,,,,
,1,5.0,13.32,46.90,30.55,6.47,weather:,Mostly cloudy,,,,,,,,,,,,
